Rk,Squad,HomeMP,HomeW,HomeD,HomeL,HomeGF,HomeGA,HomeGD,HomePts,HomePts/G,HomexG,HomexGA,HomexGD,HomexGD/90,AwayMP,AwayW,AwayD,AwayL,AwayGF,AwayGA,AwayGD,AwayPts,AwayPts/G,AwayxG,AwayxGA,AwayxGD,AwayxGD/90
1,Sporting KC,17,10,5,2,34,17,+17,35,2.06,32.0,18.9,+13.1,+0.77,17,8,3,6,31,23,+8,27,1.59,25.6,24.0,+1.5,+0.10
2,Seattle,17,10,2,5,33,15,+18,32,1.88,29.4,17.0,+12.4,+0.73,17,8,3,6,19,22,-3,27,1.59,17.1,27.5,-10.3,-0.61
3,Los Angeles FC,17,9,7,1,32,15,+17,34,2.00,30.6,17.0,+13.6,+0.85,17,7,2,8,36,37,-1,23,1.35,29.1,28.7,+0.4,+0.03
4,FC Dallas,17,10,5,2,32,19,+13,35,2.06,28.5,15.1,+13.4,+0.84,17,6,4,7,20,25,-5,22,1.29,22.3,25.5,-3.2,-0.19
5,Portland,17,11,4,2,30,13,+17,37,2.18,29.8,15.8,+14.1,+0.83,17,4,5,8,24,35,-11,17,1.00,19.9,29.0,-9.2,-0.54
6,Real Salt Lake,17,11,4,2,38,24,+14,37,2.18,30.1,21.8,+8.3,+0.49,17,3,3,11,17,34,-17,12,0.71,17.8,32.0,-14.1,-0.83
7,LA Galaxy,17,8,4,5,37,27,+10,28,1.65,26.8,24.9,+1.9,+0.11,17,5,5,7,29,37,-8,20,1.18,22.0,29.8,-7.8,-0.46
8,Vancouver,17,7,5,5,32,29,+3,26,1.53,33.9,23.8,+10.1,+0.59,17,6,3,8,22,38,-16,21,1.24,16.5,33.8,-17.3,-1.02
9,Houston,17,8,3,6,36,24,+12,27,1.59,29.8,23.9,+5.9,+0.35,17,2,5,10,22,34,-12,11,0.65,23.3,27.4,-4.1,-0.24
10,Minnesota,17,10,1,6,30,25,+5,31,1.82,22.5,24.1,-1.7,-0.10,17,1,2,14,19,46,-27,5,0.29,20.7,29.8,-9.1,-0.53
11,Colorado,17,6,3,8,24,32,-8,21,1.24,21.7,29.1,-7.3,-0.43,17,2,4,11,12,31,-19,10,0.59,13.6,32.1,-18.5,-1.09
12,San Jose,17,2,6,9,27,39,-12,12,0.71,23.3,29.2,-5.9,-0.35,17,2,3,12,22,32,-10,9,0.53,18.7,31.9,-13.3,-0.78
