Rk,Squad,HomeMP,HomeW,HomeD,HomeL,HomeGF,HomeGA,HomeGD,HomePts,HomePts/G,AwayMP,AwayW,AwayD,AwayL,AwayGF,AwayGA,AwayGD,AwayPts,AwayPts/G
1,Toronto FC,17,13,3,1,45,15,+30,42,2.47,17,7,6,4,29,22,+7,27,1.59
2,NYCFC,17,10,5,2,33,20,+13,35,2.06,17,6,4,7,23,23,0,22,1.29
3,Chicago,17,12,3,2,41,14,+27,39,2.29,17,4,4,9,20,33,-13,16,0.94
4,Atlanta,17,11,3,3,48,19,+29,36,2.12,17,4,7,6,22,21,+1,19,1.12
5,Columbus,17,12,2,3,34,17,+17,38,2.24,17,4,4,9,19,32,-13,16,0.94
6,NY Red Bulls,17,9,6,2,30,14,+16,33,1.94,17,5,2,10,23,33,-10,17,1.00
7,New England,17,12,3,2,38,15,+23,39,2.29,17,1,3,13,15,46,-31,6,0.35
8,Philadelphia,17,10,3,4,36,21,+15,33,1.94,17,1,6,10,14,26,-12,9,0.53
9,Montreal,17,8,1,8,30,25,+5,25,1.47,17,3,5,9,22,33,-11,14,0.82
10,Orlando City,17,7,5,5,24,19,+5,26,1.53,17,3,4,10,15,39,-24,13,0.76
11,D.C. United,17,6,3,8,16,20,-4,21,1.24,17,3,2,12,15,40,-25,11,0.65
