Rk,Squad,HomeMP,HomeW,HomeD,HomeL,HomeGF,HomeGA,HomeGD,HomePts,HomePts/G,AwayMP,AwayW,AwayD,AwayL,AwayGF,AwayGA,AwayGD,AwayPts,AwayPts/G
1,NY Red Bulls,17,12,2,3,35,18,+17,38,2.24,17,6,4,7,27,25,+2,22,1.29
2,Columbus,17,9,4,4,38,25,+13,31,1.82,17,6,4,7,20,28,-8,22,1.29
3,Montreal,17,11,2,4,32,17,+15,35,2.06,17,4,4,9,16,27,-11,16,0.94
4,D.C. United,17,11,3,3,34,21,+13,36,2.12,17,4,3,10,9,24,-15,15,0.88
5,New England,17,9,6,2,27,12,+15,33,1.94,17,5,2,10,21,35,-14,17,1.00
6,Toronto FC,17,11,1,5,34,22,+12,34,2.00,17,4,3,10,24,36,-12,15,0.88
7,Orlando City,17,7,5,5,25,19,+6,26,1.53,17,5,3,9,21,37,-16,18,1.06
8,NYCFC,17,6,4,7,32,31,+1,22,1.29,17,4,3,10,17,27,-10,15,0.88
9,Philadelphia,17,7,3,7,22,19,+3,24,1.41,17,3,4,10,20,36,-16,13,0.76
10,Chicago,17,8,1,8,23,19,+4,25,1.47,17,0,5,12,20,39,-19,5,0.29
