Rk,Squad,HomeMP,HomeW,HomeD,HomeL,HomeGF,HomeGA,HomeGD,HomePts,HomePts/G,AwayMP,AwayW,AwayD,AwayL,AwayGF,AwayGA,AwayGD,AwayPts,AwayPts/G
1,FC Dallas,17,13,2,2,33,15,+18,41,2.41,17,5,4,8,19,24,-5,19,1.12
2,Vancouver,17,9,2,6,27,18,+9,29,1.71,17,7,3,7,18,18,0,24,1.41
3,Portland,17,8,6,3,23,13,+10,30,1.76,17,7,2,8,18,26,-8,23,1.35
4,Seattle,17,11,2,4,26,14,+12,35,2.06,17,4,4,9,18,22,-4,16,0.94
5,LA Galaxy,17,12,3,2,41,16,+25,39,2.29,17,2,6,9,15,30,-15,12,0.71
6,Sporting KC,17,10,5,2,29,20,+9,35,2.06,17,4,4,9,19,25,-6,16,0.94
7,San Jose,17,8,6,3,17,11,+6,30,1.76,17,5,2,10,24,28,-4,17,1.00
8,Houston,17,9,4,4,30,21,+9,31,1.82,17,2,5,10,12,28,-16,11,0.65
9,Real Salt Lake,17,7,6,4,22,14,+8,27,1.59,17,4,2,11,16,34,-18,14,0.82
10,Colorado,17,5,5,7,19,23,-4,20,1.18,17,4,5,8,14,20,-6,17,1.00
