Rk,Squad,HomeMP,HomeW,HomeD,HomeL,HomeGF,HomeGA,HomeGD,HomePts,HomePts/G,HomexG,HomexGA,HomexGD,HomexGD/90,AwayMP,AwayW,AwayD,AwayL,AwayGF,AwayGA,AwayGD,AwayPts,AwayPts/G,AwayxG,AwayxGA,AwayxGD,AwayxGD/90
1,NYCFC,17,11,5,1,34,16,+18,38,2.24,29.3,17.8,+11.4,+0.71,17,7,5,5,29,26,+3,26,1.53,22.6,26.8,-4.3,-0.25
2,Atlanta,17,12,3,2,36,14,+22,39,2.29,31.8,16.7,+15.1,+0.89,17,6,1,10,22,29,-7,19,1.12,24.8,25.6,-0.8,-0.05
3,Philadelphia,17,10,4,3,36,19,+17,34,2.00,31.3,18.4,+12.9,+0.76,17,6,3,8,22,31,-9,21,1.24,23.6,23.4,+0.2,+0.01
4,Toronto FC,17,9,4,4,34,26,+8,31,1.82,28.7,21.0,+7.7,+0.46,17,4,7,6,23,26,-3,19,1.12,19.3,28.4,-9.1,-0.54
5,D.C. United,17,7,6,4,25,22,+3,27,1.59,23.9,24.3,-0.5,-0.03,17,6,5,6,17,16,+1,23,1.35,13.9,23.8,-9.9,-0.58
6,NY Red Bulls,17,9,3,5,29,18,+11,30,1.76,28.1,20.8,+7.3,+0.43,17,5,3,9,24,33,-9,18,1.06,21.5,28.8,-7.3,-0.43
7,New England,17,8,4,5,23,19,+4,28,1.65,21.9,24.0,-2.1,-0.12,17,3,8,6,27,38,-11,17,1.00,22.9,30.9,-8.0,-0.47
8,Chicago,17,8,7,2,37,18,+19,31,1.82,32.6,17.1,+15.5,+0.91,17,2,5,10,18,29,-11,11,0.65,20.4,27.8,-7.3,-0.46
9,Montreal,17,8,3,6,23,22,+1,27,1.59,19.4,22.5,-3.1,-0.18,17,4,2,11,24,38,-14,14,0.82,19.0,27.5,-8.5,-0.50
10,Columbus,17,6,5,6,21,22,-1,23,1.35,20.7,18.9,+1.8,+0.11,17,4,3,10,18,25,-7,15,0.88,16.6,22.9,-6.3,-0.37
11,Orlando City,17,6,3,8,26,29,-3,21,1.24,27.6,20.6,+7.0,+0.41,17,3,7,7,18,23,-5,16,0.94,16.0,21.9,-5.9,-0.35
12,FC Cincinnati,17,3,3,11,15,36,-21,12,0.71,19.4,27.0,-7.6,-0.45,17,3,3,11,16,39,-23,12,0.71,13.6,32.3,-18.7,-1.10
