Rk,Squad,HomeMP,HomeW,HomeD,HomeL,HomeGF,HomeGA,HomeGD,HomePts,HomePts/G,HomexG,HomexGA,HomexGD,HomexGD/90,AwayMP,AwayW,AwayD,AwayL,AwayGF,AwayGA,AwayGD,AwayPts,AwayPts/G,AwayxG,AwayxGA,AwayxGD,AwayxGD/90
1,Philadelphia,11,10,1,0,27,6,+21,31,2.82,21.1,10.0,+11.1,+1.01,12,4,4,4,17,14,+3,16,1.33,14.4,15.4,-1.1,-0.09
2,Toronto FC,12,7,3,2,16,8,+8,24,2.00,19.2,9.5,+9.7,+0.81,11,6,2,3,17,18,-1,20,1.82,16.7,15.7,+0.9,+0.08
3,Columbus,11,10,0,1,22,6,+16,30,2.73,18.8,12.4,+6.3,+0.58,12,2,5,5,14,15,-1,11,0.92,12.1,17.5,-5.4,-0.45
4,Orlando City,11,7,3,1,24,12,+12,24,2.18,17.2,14.0,+3.2,+0.29,12,4,5,3,16,13,+3,17,1.42,14.8,11.7,+3.1,+0.26
5,NYCFC,11,7,0,4,24,13,+11,21,1.91,23.4,13.3,+10.1,+0.92,12,5,3,4,13,12,+1,18,1.50,14.5,14.9,-0.4,-0.03
6,NY Red Bulls,10,5,1,4,13,12,+1,16,1.60,14.2,11.9,+2.4,+0.24,13,4,4,5,16,19,-3,16,1.23,13.8,22.1,-8.3,-0.63
7,Nashville,11,4,5,2,14,9,+5,17,1.55,11.7,10.5,+1.1,+0.10,12,4,3,5,10,13,-3,15,1.25,12.2,14.9,-2.6,-0.22
8,New England,10,2,5,3,10,11,-1,11,1.10,16.7,9.1,+7.6,+0.76,13,6,3,4,16,14,+2,21,1.62,16.3,17.9,-1.5,-0.12
9,Montreal,13,4,1,8,16,21,-5,13,1.00,14.0,20.5,-6.5,-0.50,10,4,1,5,17,22,-5,13,1.30,13.6,18.2,-4.5,-0.45
10,Miami,10,5,2,3,14,14,0,17,1.70,11.8,11.6,+0.2,+0.02,13,2,1,10,11,21,-10,7,0.54,17.0,18.2,-1.2,-0.09
11,Chicago,12,5,3,4,23,18,+5,18,1.50,22.6,14.5,+8.1,+0.68,11,0,5,6,10,21,-11,5,0.45,16.3,20.9,-4.6,-0.42
12,Atlanta,13,4,2,7,10,12,-2,14,1.08,12.1,15.7,-3.7,-0.28,10,2,2,6,13,18,-5,8,0.80,9.5,13.2,-3.7,-0.37
13,D.C. United,12,2,4,6,12,21,-9,10,0.83,10.9,17.6,-6.7,-0.56,11,3,2,6,13,20,-7,11,1.00,10.9,19.3,-8.3,-0.76
14,FC Cincinnati,11,2,4,5,5,10,-5,10,0.91,10.0,11.5,-1.6,-0.14,12,2,0,10,7,26,-19,6,0.50,12.4,19.0,-6.6,-0.55
